name,count,rank,year,owner_language
Paul,320,9,2018,de
Sepp,319,10,2018,de
Max,806,1,2019,de
Leo,700,2,2019,de
Bruno,427,3,2019,de
Moritz,388,4,2019,de
Peter,385,5,2019,de
Fritz,374,6,2019,de
Anton,368,7,2019,de
Sämi,367,8,2019,de
Paul,367,8,2019,de
Sepp,347,10,2019,de
Max,776,1,2020,de
Leo,708,2,2020,de
Bruno,512,3,2020,de
Emil,428,4,2020,de
Anton,424,5,2020,de
Fritz,409,6,2020,de
Sämi,403,7,2020,de
Moritz,397,8,2020,de
Sepp,393,9,2020,de
Peter,365,10,2020,de
Max,762,1,2021,de
Leo,753,2,2021,de
Bruno,516,3,2021,de
Anton,469,4,2021,de
Sämi,422,5,2021,de
Emil,411,6,2021,de
Sepp,407,7,2021,de
Moritz,399,8,2021,de
Peter,394,9,2021,de
Lars,386,10,2021,de
Max,817,1,2022,de
Leo,700,2,2022,de
Bruno,544,3,2022,de
Anton,460,4,2022,de
Sämi,456,5,2022,de
Sepp,432,6,2022,de
Emil,416,7,2022,de
Lars,388,8,2022,de
Moritz,384,9,2022,de
Peter,374,10,2022,de
Max,451,1,2023,de
Leo,357,2,2023,de
Bruno,256,3,2023,de
Anton,226,4,2023,de
Peter,222,5,2023,de
Sepp,219,6,2023,de
Sämi,217,7,2023,de
Paul,201,8,2023,de
Moritz,194,9,2023,de
Fritz,193,10,2023,de
Bolet,142,1,2010,fr
Max,93,2,2010,fr
Filou,74,3,2010,fr
Bob,49,4,2010,fr
Toto,45,5,2010,fr
Loulou,44,6,2010,fr
Milou,43,7,2010,fr
Bruno,43,7,2010,fr
Alex,38,9,2010,fr
Arthur,34,10,2010,fr
Bolet,130,1,2011,fr
Max,80,2,2011,fr
Filou,59,3,2011,fr
Bob,54,4,2011,fr
Milou,49,5,2011,fr
Bruno,41,6,2011,fr
Coco,37,7,2011,fr
Alex,34,8,2011,fr
Loulou,32,9,2011,fr
Nino,32,9,2011,fr
Bolet,116,1,2012,fr
Max,111,2,2012,fr
Filou,63,3,2012,fr
Bob,44,4,2012,fr
Loulou,42,5,2012,fr
Hercule,39,6,2012,fr
Toto,37,7,2012,fr
Nino,36,8,2012,fr
Sugus,36,8,2012,fr
Bruno,34,10,2012,fr
Bolet,99,1,2013,fr
Max,73,2,2013,fr
Filou,59,3,2013,fr
Charolais,53,4,2013,fr
Bob,53,4,2013,fr
Prince,40,6,2013,fr
Loulou,39,7,2013,fr
Sugus,38,8,2013,fr
Coco,38,8,2013,fr
Bruno,38,8,2013,fr
Charolais,156,1,2014,fr
Max,93,2,2014,fr
Bolet,83,3,2014,fr
Filou,61,4,2014,fr
Bob,57,5,2014,fr
Milou,40,6,2014,fr
Bruno,40,6,2014,fr
Coquin,36,8,2014,fr
Victor,35,9,2014,fr
Leo,35,9,2014,fr
Bolet,111,1,2015,fr
Max,58,2,2015,fr
Filou,48,3,2015,fr
Loulou,48,3,2015,fr
Bob,43,5,2015,fr
Nino,42,6,2015,fr
Louis,38,7,2015,fr
Sugus,37,8,2015,fr
Paul,34,9,2015,fr
Bruno,32,10,2015,fr
Bolet,92,1,2016,fr
Max,81,2,2016,fr
Filou,58,3,2016,fr
Donald,43,4,2016,fr
Toto,43,4,2016,fr
Louis,42,6,2016,fr
Leo,39,7,2016,fr
Bob,36,8,2016,fr
Milou,36,8,2016,fr
Coco,35,10,2016,fr
Bolet,109,1,2017,fr
Max,81,2,2017,fr
Filou,49,3,2017,fr
Bob,46,4,2017,fr
Donald,44,5,2017,fr
Loulou,36,6,2017,fr
Bruno,34,7,2017,fr
Oscar,33,8,2017,fr
Peter,33,8,2017,fr
Toto,31,10,2017,fr
Bolet,112,1,2018,fr
Max,87,2,2018,fr
Filou,54,3,2018,fr
Nino,42,4,2018,fr
Bob,41,5,2018,fr
Loulou,36,6,2018,fr
Milou,34,7,2018,fr
Oscar,33,8,2018,fr
Coco,33,8,2018,fr
Victor,31,10,2018,fr
Bolet,96,1,2019,fr
Max,68,2,2019,fr
Loulou,53,3,2019,fr
Filou,51,4,2019,fr
Bob,46,5,2019,fr
Coco,45,6,2019,fr
Paul,40,7,2019,fr
Arthur,39,8,2019,fr
Coquin,39,8,2019,fr
Polo,38,10,2019,fr
Max,87,1,2020,fr
Bolet,69,2,2020,fr
Filou,57,3,2020,fr
Bob,49,4,2020,fr
Sugus,45,5,2020,fr
Paul,44,6,2020,fr
Donald,38,7,2020,fr
Louis,38,7,2020,fr
Gaston,37,9,2020,fr
Milou,37,9,2020,fr
Max,69,1,2021,fr
Bolet,68,2,2021,fr
Filou,59,3,2021,fr
Bob,52,4,2021,fr
Louis,48,5,2021,fr
Bruno,47,6,2021,fr
Coco,45,7,2021,fr
Flocon,43,8,2021,fr
Loulou,40,9,2021,fr
Victor,36,10,2021,fr
Max,72,1,2022,fr
Filou,62,2,2022,fr
Loulou,51,3,2022,fr
Bolet,50,4,2022,fr
Ben,45,5,2022,fr
Couteau,41,6,2022,fr
Saucisson,41,6,2022,fr
Sugus,39,8,2022,fr
Tom,38,9,2022,fr
Sam,37,10,2022,fr
Filou,40,1,2023,fr
Max,35,2,2023,fr
Bolet,35,2,2023,fr
Saucisson,31,4,2023,fr
Victor,28,5,2023,fr
Loulou,24,6,2023,fr
Bruno,23,7,2023,fr
Sugus,21,8,2023,fr
Louis,20,9,2023,fr
Gaston,20,9,2023,fr
Rino,7,1,2010,it
Teo,5,2,2010,it
Carlo,6,1,2011,it
Leo,5,2,2011,it
Aldo,5,2,2011,it
Lino,5,2,2011,it
Nino,5,1,2012,it
Ugo,5,1,2012,it
Pippo,7,1,2013,it
Nero,5,2,2013,it
Rocco,5,2,2013,it
Luca,5,2,2013,it
Aldo,5,1,2014,it
Otto,5,1,2014,it
Leo,7,1,2015,it
Aldo,5,2,2015,it
Pedro,5,2,2015,it
Koster,7,1,2016,it
Pino,6,2,2016,it
Pippo,6,2,2016,it
Tito,5,4,2016,it
Leo,5,4,2016,it
Primo,5,4,2016,it
Gino,5,4,2016,it
Max,5,4,2016,it
Vito,5,4,2016,it
Siro,9,1,2017,it
Nino,7,2,2017,it
Leo,5,3,2017,it
Max,10,1,2018,it
Gino,7,2,2018,it
Pippo,6,3,2018,it
Dino,5,4,2018,it
Lino,5,4,2018,it
Pippo,6,1,2019,it
Max,6,1,2019,it
Gino,5,3,2019,it
Ferdinand,5,3,2019,it
Nino,5,3,2019,it
Nico,5,3,2019,it
Lino,5,3,2019,it
Leo,5,3,2019,it
Gino,6,1,2020,it
Covid,6,1,2020,it
Kevin,5,3,2020,it
Pippo,5,3,2020,it
Mäx,5,3,2020,it
Leo,6,1,2021,it
Tito,5,2,2021,it
Gino,5,2,2021,it
Tito,9,1,2022,it
Bruno,7,2,2022,it
Leo,7,2,2022,it
Gino,6,4,2022,it
Nino,6,4,2022,it
Carlo,6,4,2022,it
Rino,5,7,2022,it
Pippo,5,7,2022,it
