name,count,rank,year,owner_language
Fiona,667,2,2011,de
Sina,610,3,2011,de
Tina,597,4,2011,de
Nina,594,5,2011,de
Diana,590,6,2011,de
Nora,578,7,2011,de
Lara,515,8,2011,de
Viola,506,9,2011,de
Jana,487,10,2011,de
Bella,742,1,2012,de
Fiona,652,2,2012,de
Tina,602,3,2012,de
Nora,594,4,2012,de
Nina,583,5,2012,de
Diana,579,6,2012,de
Sina,538,7,2012,de
Viola,536,8,2012,de
Bianca,487,9,2012,de
Belinda,480,10,2012,de
Bella,741,1,2013,de
Fiona,707,2,2013,de
Nina,594,3,2013,de
Nora,585,4,2013,de
Sina,549,5,2013,de
Diana,540,6,2013,de
Tina,534,7,2013,de
Bianca,505,8,2013,de
Paula,473,9,2013,de
Lara,468,10,2013,de
Bella,725,1,2014,de
Fiona,721,2,2014,de
Nora,598,3,2014,de
Sina,564,4,2014,de
Nina,553,5,2014,de
Tina,550,6,2014,de
Bianca,511,7,2014,de
Diana,501,8,2014,de
Flora,486,9,2014,de
Belinda,474,10,2014,de
Bella,684,1,2015,de
Nora,657,2,2015,de
Fiona,637,3,2015,de
Nina,613,4,2015,de
Belinda,571,5,2015,de
Tina,554,6,2015,de
Sina,538,7,2015,de
Bianca,534,8,2015,de
Diana,495,9,2015,de
Viola,475,10,2015,de
Nora,743,1,2016,de
Bella,741,2,2016,de
Fiona,619,3,2016,de
Nina,616,4,2016,de
Tina,556,5,2016,de
Bianca,553,6,2016,de
Sina,541,7,2016,de
Belinda,504,8,2016,de
Luna,500,9,2016,de
Viola,499,10,2016,de
Bella,803,1,2017,de
Tina,588,2,2017,de
Fiona,585,3,2017,de
Nora,573,4,2017,de
Bianca,567,5,2017,de
Nina,548,6,2017,de
Sina,544,7,2017,de
Belinda,492,8,2017,de
Diana,481,9,2017,de
Luna,455,10,2017,de
Bella,763,1,2018,de
Sina,655,2,2018,de
Fiona,595,3,2018,de
Tina,567,4,2018,de
Nora,560,5,2018,de
Lisa,543,6,2018,de
Bianca,525,7,2018,de
Luna,521,8,2018,de
Nina,497,9,2018,de
Mia,491,10,2018,de
Bella,820,1,2019,de
Sina,633,2,2019,de
Fiona,580,3,2019,de
Tina,545,4,2019,de
Anna,541,5,2019,de
Nina,535,6,2019,de
Lisa,529,7,2019,de
Bianca,493,8,2019,de
Belinda,470,9,2019,de
Nora,465,10,2019,de
Bella,809,1,2020,de
Sina,655,2,2020,de
Fiona,632,3,2020,de
Tina,543,4,2020,de
Nora,536,5,2020,de
Nina,518,6,2020,de
Mia,517,7,2020,de
Anna,512,8,2020,de
Luna,512,8,2020,de
Bianca,504,10,2020,de
Bella,864,1,2021,de
Fiona,656,2,2021,de
Sina,618,3,2021,de
Nina,605,4,2021,de
Nora,587,5,2021,de
Tina,577,6,2021,de
Bianca,571,7,2021,de
Luna,562,8,2021,de
Anna,555,9,2021,de
Lisa,505,10,2021,de
Bella,851,1,2022,de
Sina,647,2,2022,de
Anna,598,3,2022,de
Fiona,590,4,2022,de
Olivia,575,5,2022,de
Tina,575,5,2022,de
Nora,545,7,2022,de
Bianca,545,7,2022,de
Nina,542,9,2022,de
Luna,496,10,2022,de
Bella,413,1,2023,de
Sina,331,2,2023,de
Fiona,275,3,2023,de
Tina,275,3,2023,de
Olivia,265,5,2023,de
Lisa,257,6,2023,de
Bianca,252,7,2023,de
Anna,252,7,2023,de
Nora,246,9,2023,de
Luna,243,10,2023,de
Tulipe,162,1,2010,fr
Etoile,121,2,2010,fr
Noisette,114,3,2010,fr
Brunette,109,4,2010,fr
Bella,108,5,2010,fr
Princesse,104,6,2010,fr
Caline,103,7,2010,fr
Iris,95,8,2010,fr
Nina,95,8,2010,fr
Cerise,94,10,2010,fr
Tulipe,144,1,2011,fr
Caline,113,2,2011,fr
Etoile,111,3,2011,fr
Bella,107,4,2011,fr
Noisette,106,5,2011,fr
Gazelle,101,6,2011,fr
Violette,101,6,2011,fr
Vanille,100,8,2011,fr
Iris,97,9,2011,fr
Brunette,94,10,2011,fr
Tulipe,125,1,2012,fr
Etoile,111,2,2012,fr
Bella,103,3,2012,fr
Caline,99,4,2012,fr
Hirondelle,96,5,2012,fr
Vanille,95,6,2012,fr
Noisette,92,7,2012,fr
Mirabelle,90,8,2012,fr
Brunette,90,8,2012,fr
Iris,88,10,2012,fr
Tulipe,120,1,2013,fr
Iris,117,2,2013,fr
Caline,111,3,2013,fr
Bella,104,4,2013,fr
Noisette,102,5,2013,fr
Etoile,98,6,2013,fr
Tina,97,7,2013,fr
Nina,87,8,2013,fr
Alouette,86,9,2013,fr
Violette,84,10,2013,fr
Bella,131,1,2014,fr
Tulipe,124,2,2014,fr
Etoile,117,3,2014,fr
Caline,116,4,2014,fr
Cerise,99,5,2014,fr
Noisette,99,5,2014,fr
Iris,92,7,2014,fr
Lola,89,8,2014,fr
Jonquille,86,9,2014,fr
Tina,84,10,2014,fr
Tulipe,123,1,2015,fr
Bella,112,2,2015,fr
Caline,112,2,2015,fr
Prune,105,4,2015,fr
Etoile,100,5,2015,fr
Cerise,93,6,2015,fr
Lola,93,6,2015,fr
Noisette,92,8,2015,fr
Princesse,88,9,2015,fr
Nina,86,10,2015,fr
Tulipe,132,1,2016,fr
Bella,112,2,2016,fr
Etoile,110,3,2016,fr
Caline,106,4,2016,fr
Iris,99,5,2016,fr
Cerise,87,6,2016,fr
Vanille,85,7,2016,fr
Noisette,83,8,2016,fr
Alouette,82,9,2016,fr
Nina,81,10,2016,fr
Noisette,107,1,2017,fr
Tulipe,105,2,2017,fr
Etoile,103,3,2017,fr
Vanille,96,4,2017,fr
Caline,90,5,2017,fr
Nina,87,6,2017,fr
Bella,86,7,2017,fr
Alouette,86,7,2017,fr
Tina,83,9,2017,fr
Cerise,80,10,2017,fr
Bella,116,1,2018,fr
Noisette,95,2,2018,fr
Caline,93,3,2018,fr
Vanille,93,3,2018,fr
Iris,90,5,2018,fr
Nina,88,6,2018,fr
Tulipe,87,7,2018,fr
Tina,83,8,2018,fr
Violette,82,9,2018,fr
Princesse,79,10,2018,fr
Bella,116,1,2019,fr
Tulipe,102,2,2019,fr
Cerise,96,3,2019,fr
Tina,94,4,2019,fr
Etoile,89,5,2019,fr
Prune,87,6,2019,fr
Noisette,85,7,2019,fr
Nina,78,8,2019,fr
Jonquille,77,9,2019,fr
Lola,76,10,2019,fr
Bella,128,1,2020,fr
Corona,122,2,2020,fr
Tulipe,102,3,2020,fr
Noisette,98,4,2020,fr
Iris,96,5,2020,fr
Caline,91,6,2020,fr
Cerise,82,7,2020,fr
Etoile,79,8,2020,fr
Rose,79,8,2020,fr
Vanille,76,10,2020,fr
Bella,118,1,2021,fr
Tulipe,103,2,2021,fr
Vanille,90,3,2021,fr
Etoile,89,4,2021,fr
Iris,84,5,2021,fr
Jolie,82,6,2021,fr
Nina,78,7,2021,fr
Lola,76,8,2021,fr
Noisette,76,8,2021,fr
Caline,74,10,2021,fr
Tulipe,116,1,2022,fr
Bella,102,2,2022,fr
Etoile,98,3,2022,fr
Lola,89,4,2022,fr
Nina,83,5,2022,fr
Vanille,83,5,2022,fr
Tina,82,7,2022,fr
Fleur,80,8,2022,fr
Lolita,76,9,2022,fr
Prune,72,10,2022,fr
Bella,66,1,2023,fr
Vanille,49,2,2023,fr
Jonquille,43,3,2023,fr
Lolita,42,4,2023,fr
Tulipe,41,5,2023,fr
Iris,41,5,2023,fr
Noisette,39,7,2023,fr
Violette,39,7,2023,fr
Etoile,35,9,2023,fr
Stella,34,10,2023,fr
Fiona,11,1,2010,it
Nora,10,2,2010,it
Perla,8,3,2010,it
Asia,8,3,2010,it
Bruna,8,3,2010,it
Olga,8,3,2010,it
Olanda,7,7,2010,it
Nina,7,7,2010,it
Vanessa,6,9,2010,it
Bionda,6,9,2010,it
Gina,16,1,2011,it
Lea,12,2,2011,it
Tina,10,3,2011,it
Perla,9,4,2011,it
Carolina,7,5,2011,it
Stella,7,5,2011,it
Pina,6,7,2011,it
Zita,6,7,2011,it
Luna,6,7,2011,it
Giorgia,6,7,2011,it
Perla,10,1,2012,it
Rina,8,2,2012,it
Petra,8,2,2012,it
Lisa,8,2,2012,it
Bella,8,2,2012,it
Furia,7,6,2012,it
Giada,7,6,2012,it
Gloria,7,6,2012,it
Pina,7,6,2012,it
Paola,7,6,2012,it
Luna,16,1,2013,it
Stella,15,2,2013,it
Iris,12,3,2013,it
Diana,10,4,2013,it
Dora,8,5,2013,it
Susi,7,6,2013,it
Viola,7,6,2013,it
Ida,7,6,2013,it
Nina,7,6,2013,it
Asia,7,6,2013,it
Sara,10,1,2014,it
Luna,9,2,2014,it
Sissi,9,2,2014,it
Tina,8,4,2014,it
Stella,8,4,2014,it
Lea,8,4,2014,it
Emma,7,7,2014,it
Iris,7,7,2014,it
Mia,6,9,2014,it
Aurora,6,9,2014,it
Stella,12,1,2015,it
Luna,10,2,2015,it
Bella,9,3,2015,it
Flora,9,3,2015,it
Giada,8,5,2015,it
Lea,8,5,2015,it
Linda,7,7,2015,it
Perla,7,7,2015,it
Mia,6,9,2015,it
Asia,6,9,2015,it
Nora,12,1,2016,it
Luna,11,2,2016,it
Nina,11,2,2016,it
Alba,9,4,2016,it
Viola,8,5,2016,it
Furia,7,6,2016,it
Sara,7,6,2016,it
Gioia,7,6,2016,it
Stella,7,6,2016,it
Fiona,7,6,2016,it
Stella,13,1,2017,it
Bruna,10,2,2017,it
Nora,10,2,2017,it
Martina,9,4,2017,it
Olivia,9,4,2017,it
Birba,8,6,2017,it
Bella,8,6,2017,it
Sara,7,8,2017,it
Luna,7,8,2017,it
Cora,7,8,2017,it
Stella,17,1,2018,it
Lola,11,2,2018,it
Gina,11,2,2018,it
Heidi,10,4,2018,it
Dora,9,5,2018,it
Luna,9,5,2018,it
Bella,8,7,2018,it
Rosa,8,7,2018,it
Perla,8,7,2018,it
Mirta,7,10,2018,it
Luna,14,1,2019,it
Bella,11,2,2019,it
Mia,10,3,2019,it
Stella,10,3,2019,it
Fiona,9,5,2019,it
Betty,9,5,2019,it
Bianca,8,7,2019,it
Asia,8,7,2019,it
Neve,8,7,2019,it
Tina,8,7,2019,it
Luna,14,1,2020,it
Corona,13,2,2020,it
Anna,10,3,2020,it
Tina,10,3,2020,it
Bella,9,5,2020,it
Eva,9,5,2020,it
Serena,9,5,2020,it
Bianca,8,8,2020,it
Molly,8,8,2020,it
Margherita,7,10,2020,it
Luna,16,1,2021,it
Tina,12,2,2021,it
Stella,12,2,2021,it
Nina,9,4,2021,it
Heidi,8,5,2021,it
Lea,7,6,2021,it
Neve,7,6,2021,it
Linda,7,6,2021,it
Mela,6,9,2021,it
Perla,6,9,2021,it
Luna,16,1,2022,it
Gina,12,2,2022,it
Stella,9,3,2022,it
Rosa,9,3,2022,it
Asia,8,5,2022,it
Tina,8,5,2022,it
Bella,7,7,2022,it
Nerina,7,7,2022,it
Ella,7,7,2022,it
Rina,6,10,2022,it
Luna,8,1,2023,it
Lena,5,2,2023,it
